name,amount,price,description
Dry Ice,70,56.74,Vulpes vulpes
Bread - Italian Corn Meal Poly,75,65.63,Cracticus nigroagularis
"Wine - Red, Pelee Island Merlot",61,42.39,Stenella coeruleoalba
Piping Jelly - All Colours,39,87.99,Spermophilus armatus
"Carrots - Purple, Organic",87,42.36,unavailable
Bread - Corn Muffaletta,1,85.49,Lepus arcticus
Sugar - Fine,34,71.31,Bucorvus leadbeateri
Longos - Chicken Wings,90,83.79,Picoides pubescens
Sauce - Hoisin,43,26.73,Phoenicopterus chilensis
Muffin Batt - Ban Dream Zero,41,68.95,Canis aureus
Flour - Rye,54,31.93,Varanus salvator
Table Cloth 53x69 White,97,28.22,Notechis semmiannulatus
Oysters - Smoked,57,40.3,Rhea americana
Turnip - Mini,15,96.85,Speothos vanaticus
"Melon - Watermelon, Seedless",100,65.34,Hymenolaimus malacorhynchus
"Salmon - Atlantic, No Skin",50,64.24,Phoenicopterus ruber
Soup Campbells - Tomato Bisque,52,56.16,Cebus apella
Puree - Strawberry,85,33.95,Cereopsis novaehollandiae
Dried Figs,26,48.38,Ciconia ciconia
Sauce - Oyster,62,6.13,Bubo virginianus
Pineapple - Golden,99,82.14,Tragelaphus angasi
Lettuce - Red Leaf,1,18.59,Phalaropus fulicarius
Pepper - Green,7,1.2,Lutra canadensis
Oysters - Smoked,58,85.41,Macropus agilis
Lobster - Cooked,85,57.72,Tayassu pecari
"Jam - Strawberry, 20 Ml Jar",3,5.46,Sciurus vulgaris
Chivas Regal - 12 Year Old,37,70.93,Anastomus oscitans
"Tomatoes - Vine Ripe, Yellow",55,77.52,Diomedea irrorata
"Placemat - Scallop, White",60,62.52,Ursus americanus
Squash - Sunburst,40,36.36,Chelodina longicollis
Sprouts - Bean,70,97.37,Hippotragus equinus
Strawberries,13,68.09,Eutamias minimus
"Oil - Olive, Extra Virgin",70,74.94,Vanellus chilensis
Veal - Liver,36,71.64,Naja nivea
Cheese - Parmigiano Reggiano,61,44.98,Dasyurus viverrinus
Potatoes - Peeled,48,61.48,Tadorna tadorna
"Tea - Darjeeling, Azzura",33,54.81,Halcyon smyrnesis
Scampi Tail,7,38.88,Plocepasser mahali
Beef - Montreal Smoked Brisket,99,30.82,Francolinus swainsonii
"Shrimp - 16 - 20 Cooked, Peeled",88,52.28,Spermophilus parryii
